"brand","total_rows","form_detected_rows","confirmed_url_rows","list_filled_rows","list_empty_rows","stop_stage","top_empty_reason","top_empty_reason_count","list_item_total","list_item_detail_like","list_item_non_detail","list_item_non_detail_pct","list_item_search","list_item_category","list_item_home_or_section","list_item_other","list_item_empty","bad_url_example"
"DJI","2","2","2","0","2","confirmed_but_no_list","no_products_after_parse","2","0","0","0","0","0","0","0","0","0",""
"Downy","2","0","0","0","2","form_detection_failed","search_form_not_confirmed","2","0","0","0","0","0","0","0","0","0",""
"Dyson","2","0","0","0","2","form_detection_failed","search_form_not_confirmed","2","0","0","0","0","0","0","0","0","0",""
"Englanderr","2","2","2","2","0","list_ok_detail_urls","","0","18","18","0","0","0","0","0","0","0",""
"Georgia","2","0","2","2","0","list_present_but_url_quality_issue","","0","18","0","18","100","0","0","0","18","0","https://cokeplay.cocacola.co.kr/pointshop/goods"
"Gigabyte","2","0","2","0","2","confirmed_but_no_list","no_products_after_parse","2","0","0","0","0","0","0","0","0","0",""
"Logitech","2","0","2","0","2","confirmed_but_no_list","no_products_after_parse","2","0","0","0","0","0","0","0","0","0",""
"Magic Chef","2","0","2","0","2","confirmed_but_no_list","no_products_after_parse","2","0","0","0","0","0","0","0","0","0",""
"Mlekovita","2","0","0","0","2","form_detection_failed","search_form_not_confirmed","2","0","0","0","0","0","0","0","0","0",""
"Panasonic","2","0","0","0","2","form_detection_failed","search_form_not_confirmed","2","0","0","0","0","0","0","0","0","0",""
"Pond’s","2","0","0","0","2","form_detection_failed","search_form_not_confirmed","2","0","0","0","0","0","0","0","0","0",""
"Sensodyne","2","0",,,"2","form_detection_failed","search_form_not_confirmed","1","10","10","0","0","0","0","0","0","0",""
"Taster’s Choice","2","0","0","0","2","form_detection_failed","search_form_not_confirmed","2","0","0","0","0","0","0","0","0","0",""
"Toshiba","2","0","0","0","2","form_detection_failed","search_form_not_confirmed","2","0","0","0","0","0","0","0","0","0",""
"3M","1","0","0","0","1","form_detection_failed","search_form_not_confirmed","1","0","0","0","0","0","0","0","0","0",""
"Alpecin","1","0","0","0","1","form_detection_failed","search_form_not_confirmed","1","0","0","0","0","0","0","0","0","0",""
"Arm & Hammer","1","0","0","0","1","form_detection_failed","search_form_not_confirmed","1","0","0","0","0","0","0","0","0","0",""
"Astonish","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Avène","1","0","0","0","1","form_detection_failed","search_form_not_confirmed","1","0","0","0","0","0","0","0","0","0",""
"BenQ","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Bioturm","1",,,,"1","form_detection_failed","","0","3","0","3","100","0","3","0","0","0","https://bioturm.co.kr/product/%EB%B9%84%EC%98%A4%ED%85%80-%EC%98%A4%EB%A6%AC%EC%A7%80%EB%84%90-%ED%81%B4%EB%A0%8C%EC%A7%95%EB%B0%80%ED%81%AC500ml-%ED%8E%8C%ED%95%91-45000%EC%9B%90-%EC%83%81%EB%8B%B9-%ED%83%84%EB%A0%A5-%EC%88%98%EB%B6%84%ED%81%AC%EB%A6%BC-%EC%A6%9D%EC%A0%95/826/category/115/display/1/"
"Blistex","1","0",,,"1","form_detection_failed","","0","10","0","10","100","0","0","0","10","0","https://www.blistex.kr/shop/item.php?it_id=1589161271"
"Bolloré","1","0",,"0","1","form_detection_failed","no_products_after_parse","1","0","0","0","0","0","0","0","0","0",""
"Bosch","1","0","0","0","1","form_detection_failed","search_form_not_confirmed","1","0","0","0","0","0","0","0","0","0",""
"Bose","1",,,,"1","form_detection_failed","","0","10","0","10","100","10","0","0","0","0","https://www.bose.co.kr/search?keyword=%ED%97%A4%EB%93%9C%ED%8F%B0"
"Brigen","1",,,,"1","form_detection_failed","","0","8","0","8","100","0","8","0","0","0","https://kcll.co.kr/product/%EB%B8%8C%EB%A6%AC%EC%A0%A0-%EC%8A%88%ED%8D%BC-%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84-%EC%96%B4%EB%8D%9C%ED%8A%B8-%EA%B0%95%EC%95%84%EC%A7%80%EC%82%AC%EB%A3%8C-6kg/473/category/124/display/1/"
