"index","brand","product_name","status","attempts","id","error","started_at","ended_at"
"22","Ferm Living","Rico Lounge Chair","ok","1","0a19c165-b6ab-442e-bdc5-6186c4fa93ab","","2026-02-11T05:29:21.303Z","2026-02-11T05:29:43.643Z"
"23","Flos","IC Lights T1","ok","1","d9573d4d-0704-48cf-b1a8-3eadfe1c3e0e","","2026-02-11T05:29:45.162Z","2026-02-11T05:30:05.159Z"
"24","Artemide","Tolomeo Tavolo","ok","1","01414af7-0a28-434a-8d0a-50fa265c7a92","","2026-02-11T05:30:06.661Z","2026-02-11T05:30:32.836Z"
"25","Thorne","Basic Nutrients 2/Day","ok","1","8d1dd84b-70c3-40e8-b833-80ae3780805b","","2026-02-11T05:30:34.345Z","2026-02-11T05:31:03.888Z"
"26","Solgar","Gentle Iron 25mg","ok","1","9532c080-fc9d-45f3-9f10-f06ddb815e91","","2026-02-11T05:31:05.393Z","2026-02-11T05:31:34.603Z"
"27","Aarke","Carbonator 3","ok","1","8215c816-4d77-4e33-b448-58612167daf1","","2026-02-11T05:31:36.119Z","2026-02-11T05:31:59.063Z"
"28","Fellow","Stagg EKG Kettle","ok","1","6359b43d-fdac-450c-a770-482bfbc78e8a","","2026-02-11T05:32:00.571Z","2026-02-11T05:32:36.805Z"
"29","Stadler Form","Oskar Humidifier","ok","1","c8b2ca77-c2bb-4cb2-b9fe-378587d2b2d6","","2026-02-11T05:32:38.318Z","2026-02-11T05:33:11.329Z"
"30","BALMUDA","The Pure Air Purifier","ok","1","8d60aeb5-a6c5-4b38-a00f-31bc6d7e1b5c","","2026-02-11T05:33:12.847Z","2026-02-11T05:33:30.199Z"
"31","Byredo","Blanche Hand Cream","ok","1","850e96bb-eada-4074-a591-b0f9817b111c","","2026-02-11T05:33:31.699Z","2026-02-11T05:34:20.960Z"
"32","Susanne Kaufmann","Enzyme Exfoliator","ok","1","b7119bed-2a29-43f7-a59b-c14124f14943","","2026-02-11T05:34:22.464Z","2026-02-11T05:34:58.500Z"
"33","A.P.C.","Demi-Lune Bag","ok","1","a730836c-c30f-4826-b309-22a242be43aa","","2026-02-11T05:35:00.008Z","2026-02-11T05:35:26.980Z"
"34","Fazzini","Raso Sateen Duvet Cover","ok","1","4eae1ded-db91-4df2-a529-c0579f54f92d","","2026-02-11T05:35:28.484Z","2026-02-11T05:36:20.600Z"
"35","Ziwi Peak","Air-Dried Beef Recipe","ok","1","5b64daf2-d994-4232-9981-b4d9d837b01b","","2026-02-11T05:36:22.103Z","2026-02-11T05:37:04.786Z"
