"index","brand","product_name","status","attempts","id","error","started_at","ended_at"
"1","레어로우","스틸 모듈 캐비닛","ok","1","c718b951-a095-427e-83bb-68aa92dd2ee6","","2026-02-11T05:18:25.026Z","2026-02-11T05:18:57.326Z"
"2","잭슨카멜레온","페블 모듈 소파","ok","1","3fcb5f44-fab0-4d4a-be85-460ce829e1c0","","2026-02-11T05:18:58.855Z","2026-02-11T05:19:21.115Z"
"3","일광전구","스노우맨 테이블램프","ok","1","1d50a333-021e-4dcc-9d31-44cf4519f670","","2026-02-11T05:19:22.637Z","2026-02-11T05:19:50.887Z"
"4","루미르","LUMIR C 무드 램프","ok","1","3bd8e479-54e4-4ab8-89a4-48b06f82144a","","2026-02-11T05:19:52.398Z","2026-02-11T05:20:15.002Z"
"5","뉴트리코어","비타민D","ok","1","df300a56-5dde-4880-9fe4-4994bc26069e","","2026-02-11T05:20:16.510Z","2026-02-11T05:20:52.977Z"
"6","트루엔","오메가3 맥스","ok","1","01d5da14-9944-49b5-945c-9985a3f7ecbb","","2026-02-11T05:20:54.491Z","2026-02-11T05:21:25.582Z"
"7","오쿠","슬림 식품건조기","ok","1","4f8f7560-f2dc-4fea-ad2d-928717c8ba02","","2026-02-11T05:21:27.084Z","2026-02-11T05:21:50.532Z"
"8","보아르","V30 에어프라이어","ok","1","a222517b-5edb-4712-ae66-d1686212f2b8","","2026-02-11T05:21:52.033Z","2026-02-11T05:22:00.336Z"
"9","미로","MH7000 초음파 가습기","ok","1","4177dafb-592f-4a1b-b700-3705bb2a0f90","","2026-02-11T05:22:01.857Z","2026-02-11T05:22:28.421Z"
"10","루메나","FAN PRIME 3 무선선풍기","ok","1","89f10f6b-5958-461a-adea-3c621f6be2e6","","2026-02-11T05:22:29.951Z","2026-02-11T05:22:56.703Z"
"11","아렌시아","프레시 그린 떡솝","ok","1","2d4d76ef-44ce-43c8-be5b-d0e0c2870d12","","2026-02-11T05:22:58.217Z","2026-02-11T05:23:20.799Z"
"12","비플레인","시카풀 앰플","ok","1","19584c35-6450-403c-9495-b5a854128dc4","","2026-02-11T05:23:22.307Z","2026-02-11T05:24:05.134Z"
"13","드파운드","클래식 로고 숄더백","ok","1","16245ec1-d0f5-4898-af5e-4b76e2c86ff4","","2026-02-11T05:24:06.634Z","2026-02-11T05:24:25.528Z"
"14","안다르","에어쿨링 레깅스","ok","1","c90a3edb-e5bf-4c8b-ae93-57f8279ccbdc","","2026-02-11T05:24:27.035Z","2026-02-11T05:25:04.046Z"
"15","아날로그키퍼","타임로그 다이어리","ok","1","a26047af-1e09-4d1f-8420-1ae1c14f8499","","2026-02-11T05:25:05.552Z","2026-02-11T05:25:24.041Z"
"16","닥터다니엘","커큐민","ok","1","3738e103-7aed-4c75-8785-efc134d83ddc","","2026-02-11T05:25:25.555Z","2026-02-11T05:25:57.306Z"
"17","청담뉴트리션","포스파티딜세린","ok","1","d2681294-51af-43c6-8e97-c0a3ca5c7774","","2026-02-11T05:25:58.822Z","2026-02-11T05:26:38.655Z"
"18","보타니스트","보태니컬 샴푸","ok","1","7ebab9c2-cd7c-4114-930b-114c6e8e316e","","2026-02-11T05:26:40.161Z","2026-02-11T05:27:31.998Z"
"19","셀레티","dangling earrings","ok","1","816a861f-c841-45ea-b0ef-d0f160dae145","","2026-02-11T05:27:33.506Z","2026-02-11T05:27:56.479Z"
"20","파크골프채","피닉스","ok","1","e3f85e51-eec0-4a1d-801a-28c0a630ba9d","","2026-02-11T05:27:57.994Z","2026-02-11T05:28:40.203Z"
"21","Magis","Chair One","ok","1","c163d861-8208-4df7-bb1d-2280cfb02ca6","","2026-02-11T05:28:41.704Z","2026-02-11T05:29:19.792Z"
